509.4986,1723.0356,263.4466,46.1863,95.2986,192.9534,161.0849,96.6685,64.2000,176.1205,91.9918,197.7507
588.0493,1456.3425,320.8055,43.7479,139.0493,204.6274,161.7753,93.6329,51.8137,188.5288,109.2740,192.7151
629.3890,1256.3370,342.6110,45.0877,108.1397,176.7041,197.1863,95.0055,49.5589,206.4000,110.5342,167.5397
687.4235,1205.6585,321.7978,37.5492,97.0328,172.6995,205.1667,100.3989,51.7459,189.3525,93.1612,172.5820
915.0301,1342.4247,377.7507,82.3808,98.7507,177.6904,215.4137,169.4055,47.8055,216.4986,137.6603,166.9890
969.6247,1549.9890,377.2466,67.1123,157.7781,234.7918,235.0575,139.3781,47.8740,285.2986,140.6904,193.6986
908.0301,1659.6466,419.2603,91.6849,137.0247,229.5534,247.9178,204.1425,56.2137,253.6329,143.3836,166.3534
994.5820,1594.5027,406.3388,93.5874,153.3443,248.5519,282.1311,147.5027,53.4071,332.5738,160.6885,173.1721
928.2521,1565.5534,459.2082,88.5370,108.0822,265.1315,354.3863,139.7753,53.1260,426.8849,205.5123,178.1589
920.2959,1454.8356,484.3151,79.6356,135.1479,282.3397,342.1918,176.0137,53.2466,359.7863,276.2521,184.3781
921.3589,1494.8137,495.3096,85.8493,283.4055,354.7507,425.6247,215.1589,54.0986,421.4877,202.1370,264.8164
1043.5109,1501.5902,521.3579,88.7596,254.4781,327.9344,418.7678,244.4563,58.4727,421.1967,236.0574,224.1366
997.0575,1527.6438,498.7863,103.3397,196.0219,334.8274,389.4247,229.8959,60.3479,379.8521,273.2356,199.7781
880.6548,1598.2082,503.9726,82.9616,254.0000,253.7425,390.1726,229.8164,53.1699,357.7808,274.8082,242.3863
954.7808,1624.9507,518.2055,102.1562,244.8603,249.0740,339.8986,224.0027,48.5699,450.5041,290.1781,232.1370
899.4344,1524.3224,538.5219,96.6667,216.5383,241.0601,367.1284,208.6339,47.7268,505.4399,243.6585,278.0355
