ORISPL_CODE,UNITID,CF_06_08,CF_15_17
2450,1,0.526949272,0.518214784
2450,2,0.483740084,0.496694531
2450,3,0.495360496,0.497638913
2451,1,0.871700467,0.813701801
2451,2,0.877108248,0.793788251
2451,3,0.884320841,0.729540212
2451,4,0.881562958,0.771626654
2454,121B,0.295690623,0.475180027
2454,122B,0.564199409,0.462533087
2454,123T,0.748795953,0.744819044
2454,124T,0.715210786,0.786845873
3456,**4,0.5932186,0.480393596
3456,**5,0.634551228,0.471492582
3456,1,0.481682079,0.545964284
3456,2,0.617627664,0.527689477
3456,3,0.493623282,0.496836991
3456,GT-6A,,0.528385495
3456,GT-6B,,0.552956229
3644,1,0.854196099,0.845845475
3644,2,0.847221758,0.925543478
3648,1,0.416367918,0.318305787
3648,2,0.421742848,0.287497336
3648,3,0.437181502,0.25990689
3648,4,0.537129801,0.333159927
,,,
3648,5,0.54467862,0.329866367
,,,
3648,6,0.539519445,0.30802285
,,,
,,,
,,,
3845,30,0.91088968,
3845,40,0.885395507,
3845,50,0.878412452,
3845,60,0.906565899,
3845,BW21,0.831365226,0.713669718
3845,BW22,0.805900707,0.687232295
4158,BW41,0.860923346,0.836558857
4158,BW42,0.86332059,0.819164038
4158,BW43,0.862091502,0.79057527
4158,BW44,0.840473823,0.814339061
4162,1,0.850787616,0.886264954
4162,2,0.851793916,0.876635586
4162,3,0.879151969,0.783496005
4941,1,0.947624691,0.731578644
4941,2,0.95189079,0.755449093
4941,3,0.946286291,0.728398158
,,,
,,,
6021,C1,0.935769279,0.76936866
6021,C2,0.932477434,0.776972636
6021,C3,0.936883189,0.790172069
6076,1,0.866894527,0.770493157
6076,2,0.886524123,0.783904134
6076,3,0.901092395,0.85378406
6076,4,0.916250276,0.851031573
6089,B1,0.764023894,0.681988292
6101,BW91,0.932120425,0.891917761
6106,1SG,0.92784344,0.767640587
6112,2,0.684025927,0.631101048
6112,3,0.687112705,0.624298742
6112,4,0.621047556,0.594901455
,,,0.633608321
,,,0.617029145
6165,1,0.902925512,0.783299331
6165,2,0.889326119,0.773863523
6165,3,0.854337797,0.765824322
6177,U1B,0.896226843,0.789846341
6177,U2B,0.917533553,0.816702045
6204,1,0.858094492,0.725696211
6204,2,0.912335549,0.820416241
6204,3,0.892616446,0.840524838
6248,1,0.855130975,0.826603218
6481,1SGA,0.962291926,0.660607362
6481,2SGA,0.960377279,0.655546816
6761,101,0.919250973,0.922421933
6761,A,0.616211745,0.6746016
6761,B,0.603794226,0.625223118
6761,C,0.65125,0.672382508
6761,D,0.614828376,0.604529251
6761,F,0.648807424,0.786364381
7082,**3,0.642177364,0.717323426
7082,**4,0.613473735,0.714272611
,,,0.80780153
,,,0.807453202
7266,1,0.690775087,0.79498728
7266,2,0.48900516,0.565221992
7307,5,0.578706927,0.699886214
,,,0.699841502
7315,1,0.593145888,0.698315887
,,,0.597725126
,,,0.612568568
,,,0.608624953
7350,CTG1,0.811387819,0.834697556
7350,CTG2,0.835382841,0.830941198
7449,NA1,0.818738947,0.733784088
7456,1,0.731728231,0.732542079
7456,2,0.662888681,0.702849446
,,,
7504,CT1,0.65627509,0.653581801
7527,1,0.490659085,0.701624916
7527,2,0.732336893,0.806682634
7551,1A,0.658066339,0.759275473
7551,1B,0.749358462,0.777696598
7551,1C,0.738910142,0.803197207
7552,1,0.719933508,0.739581673
7605,1,0.918128325,0.926709918
7693,1,0.73801245,0.755165368
7870,CT1,0.808388546,0.683589796
7870,CT2,0.798927144,0.701681936
7870,CT3,0.800278965,0.748954569
7945,1,0.728944181,
7953,CT1,0.760749583,0.733417254
7953,CT2,0.656292945,0.655002713
7953,CT3,0.679083969,0.65047259
7967,1,0.575968946,0.441355555
7967,2,0.576138967,0.467750305
7975,1,0.727032635,0.712930101
7975,2,0.691092158,0.711406208
7975,3,0.675384099,0.703035493
7975,4,0.793242806,0.689272547
,,,
7999,1,0.5999417,0.802611137
7999,2,0.608706055,0.829398282
8066,BW71,0.892976791,0.715181056
8066,BW72,0.898233288,0.735099754
8066,BW73,0.894235473,0.728938483
8066,BW74,0.879136465,0.707152354
8068,5A,0.659593882,0.687767739
8068,5B,0.559888497,0.67221085
8068,6A,0.686571572,0.679639066
8069,1,0.907223281,0.780259816
8069,2,0.907675174,0.743801483
8219,1,0.968568237,0.868707376
8219,2,0.623680286,0.610871222
8219,3,0.609666859,0.630087428
8223,1,0.880844764,0.676472906
8223,2,0.901339706,0.856560518
,,,0.772459045
8223,TS3,0.906488923,0.756262141
8224,1,0.864709246,0.603473239
8224,2,0.851625983,0.573121861
10034,S-100,0.746675849,0.808658028
10156,GEN1,0.538071484,0.464567572
10169,D1,0.912711185,0.780575783
10294,2,0.773658091,0.554032657
10349,2,0.771173045,0.456603593
,,,0.771165777
,,,0.815709302
,,,
,,,
10682,GT2,0.685647233,0.730893782
10682,GT4,0.55828877,0.516735498
10682,GT5,0.58035189,0.522426096
10761,1,0.76780827,0.748908199
10761,2,0.628225553,0.609799902
10761,3,0.630254355,0.581890153
10761,4,0.618441985,0.612445336
10761,5,0.608911332,0.606887818
,,,
,,,
50131,1,0.932024278,0.87833242
,,,0.542996937
,,,0.731475955
,,,0.56118616
,,,0.540433227
,,,0.59244341
50864,1,0.842917499,0.835359187
50865,1,0.692203265,0.853459202
,,,
,,,
,,,0.957131565
,,,0.858088963
,,,0.710644937
,,,0.712881588
,,,0.713130444
,,,0.642256566
,,,0.733382471
54761,1,0.85161893,0.678788875
54761,2,0.82769711,0.680444432
,,,
54814,1,0.821080807,0.881878655
54814,2,0.805743529,0.828042197
,,,0.698841699
,,,0.698797948
,,,0.670752896
55039,GT-1,0.567783336,0.59959733
55077,EDE1,0.732056827,0.779315843
55077,EDE2,0.729030193,0.787943138
55103,CT1,0.786203928,0.768242985
55103,CT2,0.798313051,0.748798855
55112,CT01,0.472297249,0.752160883
55112,CT02,0.460960863,0.764496513
55124,P1,0.731013068,0.785694868
55124,P2,0.700398678,0.774432551
55127,CT1,0.631136058,0.6782148
55127,CT2,0.672627451,0.69389598
55129,DBG1,0.689837395,0.740324072
55129,DBG2,0.698333964,0.731638581
55151,CTG-1,0.859820368,0.781781262
55151,CTG-2,0.868171062,0.757914026
55151,CTG-3,0.843395986,0.771877029
55151,CTG-4,0.854955254,0.800320844
55177,A,0.755729427,0.865824401
55177,B,0.756990557,0.851500576
55179,CTGEN1,0.812471002,0.788607702
55182,CTG1,0.804640235,0.76551108
55182,CTG2,0.77255147,0.766268136
55200,CT5,0.57531302,0.538384465
55200,CT6,0.575927996,0.53149695
55207,CT7,0.622884395,
55207,CT8,0.620998951,
,,,
55217,X724,0.816308158,0.808067735
55217,X725,0.816850149,0.819751622
55282,CTG1,0.714204631,0.72829839
55282,CTG2,0.697765172,0.72505021
55283,1,0.639521009,0.626914548
55283,2,0.630157829,0.625407296
55295,1,0.768641438,0.686665121
55295,2,0.782577034,0.680304667
55306,1CTGA,0.704586054,0.67800616
55306,1CTGB,0.713680211,0.712630898
55306,2CTGA,0.722401177,0.698445552
55306,2CTGB,0.711451762,0.697350947
55306,3CTGA,0.702581521,0.681718755
55306,3CTGB,0.701996403,0.652939369
55306,4CTGA,0.690551223,0.667138534
55306,4CTGB,0.682500751,0.673829829
55322,CTG-1,0.641205926,0.7450992
55322,CTG-2,0.726021061,0.750215531
55322,CTG-3,0.702758351,0.743158338
55322,CTG-4,0.703313473,0.739860397
55328,CTG-1,0.826088514,0.738366281
55328,CTG-2,0.824107405,0.830517255
55333,1,0.82005603,0.794760038
55333,2,0.821722105,0.808470382
55333,3,0.809031768,0.797639784
55343,CTG1,0.649101502,0.581084971
55343,CTG2,0.633749141,0.576283875
,,,0.74264147
,,,0.734921672
55372,CTG1,0.720084629,0.734932179
55372,CTG2,0.71907036,0.708885311
55372,CTG3,0.742741018,0.73748307
55393,1,0.69824486,0.787017808
55393,2,0.70300295,0.77593012
55400,CTG-1,0.835660057,0.845156362
55400,CTG-2,0.753116538,0.837308622
55453,1,0.558958815,0.52304381
55453,2,0.604822691,0.567442588
55453,3,0.619716453,0.54926532
55453,4,0.605088608,0.54707393
55453,5,0.571394423,0.543755471
55453,6,0.588125324,0.547821025
55455,CC1A,0.478030121,0.669553004
55455,CC1B,0.472507329,0.671594887
55455,CC2A,0.477305841,0.655139212
55455,CC2B,0.478293545,0.664770731
55477,CT2,0.682830056,0.533990442
,,,
55481,1,0.760812404,0.712975253
55481,2,0.758458857,0.711063288
55481,5,0.706164879,0.73002924
55481,6,0.707386039,0.726962593
55482,CT-1,0.600054423,0.669298579
55494,CT1,0.75017325,
55494,CT2,0.782462137,
55494,CT3,0.607293179,
55494,CT4,0.772013153,
55494,CT5,0.740545767,
55494,CT6,0.753490936,
55499,GT-1,0.675497082,0.721519319
,,,
55504,L1,0.686279165,0.606679404
55504,L2,0.701650028,0.653911565
55505,BR1,0.61413723,0.661953728
55505,BR2,0.640206306,0.624203822
55508,GT-1,0.613172043,0.739308585
,,,
55510,GT-1,0.737783048,0.630014317
,,,
55512,GT-1,0.703331465,0.726262626
,,,
55513,GT-1,0.751126441,0.704787309
,,,
55514,CTG01,0.574014046,0.826003844
55514,CTG02,0.596443876,0.820066327
55518,CTG1,0.795049956,0.777407132
55518,CTG2,0.788975445,0.775061584
55518,CTG3,0.799816703,0.750517656
55522,CT01,0.663390915,0.59993114
55522,CT02,0.675994152,0.618159041
55522,CT03,0.685283867,0.577090493
55522,CT04,0.683903421,0.595330739
55522,CT05,0.668898848,0.582137727
55522,CT06,0.672779595,0.618671161
55522,CT07,0.692305732,0.570843806
55522,CT08,0.68265928,0.599752844
55522,CT09,0.66076762,0.59695847
55522,CT10,0.675193798,0.606662902
55538,CT1A,0.597486472,
55538,CT1B,0.597486472,
,,,0.64471229
55540,1A,0.572438672,0.567972176
55540,1B,0.559307359,0.488046272
55541,1,0.661469038,0.683074378
55541,2,0.668221771,0.634957589
55541,3,0.658944556,0.626653772
55542,1,0.675057661,0.658574731
55542,2,0.628632513,0.699181003
55544,GT1,0.750890585,0.585170118
55544,GT2,0.760047073,0.618776285
55544,GT3,0.710057885,0.633379842
55544,GT4,0.717464246,0.635696
55622,U1,0.443402639,0.615414558
55622,U2,0.432124525,0.58639547
55622,U3,0.41831334,0.619376781
55622,U4,0.620930049,0.588720386
55622,U5,0.653296484,0.605292836
55625,UNIT1,0.729190906,0.51779158
55626,UNIT1,0.730597668,0.520608575
55627,UNIT1,0.733990675,0.501753461
55645,CT-01,0.690788052,0.637292421
55645,CT-02,0.685293171,0.633439042
55656,CT001,0.853549593,0.801271719
55656,CT002,0.855000658,0.813406606
55656,CT004,0.845783845,0.822900003
55662,CT1,0.807925738,0.675482215
55662,CT2,0.795736525,0.692298609
55683,1,,
55687,BHG1,0.732657775,0.723209534
55687,BHG2,0.725331311,0.711718501
55698,HEP1,0.612455437,0.551769466
55698,HEP2,0.626882966,0.559828244
55700,CTG1,0.715759682,0.735858783
,,,
,,,
,,,
,,,
,,,
,,,
,,,
55733,CT01,0.684008122,0.726909092
55748,CTG1,0.71005234,0.670271272
55748,CTG2,0.49255249,0.671643924
55748,CTG3,0.721364431,0.643656646
55748,CTG4,0.694405999,0.644013881
55749,U1,0.891285506,0.870529655
55802,CTG1,0.659459459,0.575932264
55807,HPP1,0.578955879,0.564397294
55807,HPP2,0.575657284,0.574712089
55810,S-3,0.741306534,0.450236967
55810,S-4,0.771097178,0.456395034
55810,S-5,0.737748939,0.442319588
55818,F1CT,0.872619882,0.912344085
55835,1,0.610240119,0.575495738
55835,2,0.592141374,0.574359113
55841,A01,0.592946285,0.678461999
55841,A03,0.656349256,0.685224515
55847,UNIT1,0.74321491,0.52111039
,,,0.720191381
,,,0.658940553
55855,UNIT1,0.744472148,0.570888502
55858,UNT1,,
55858,UNT2,,
55875,GT1,0.610404136,
55933,TPP1,0.667520183,0.565306409
55933,TPP2,0.672209104,0.585976744
55951,AMP-1,0.826240458,0.790836702
55963,1,0.754245313,0.53874337
55970,2,0.842206279,0.879009208
55970,3,0.838408781,0.874459381
55977,CTG-1,0.880662533,0.87136537
55985,CTG1,0.760973091,0.808996063
55985,CTG2,0.761212184,0.802801565
56026,PCT1,0.65766806,0.806300928
56026,PCT2,0.666310311,0.800999506
56041,M1,0.794081653,0.662177247
56041,M2,0.635072542,0.658897288
56046,1,0.687601726,0.679757725
56078,1,0.729601821,0.779983158
56078,2,0.722726305,0.727421302
56102,CTG1A,0.502687274,0.564082934
56102,CTG1B,0.709964737,0.574126626
56135,1,0.535876919,0.640669973
56135,2,0.583254757,0.604792469
56143,1,0.725223368,0.55734767
56143,2,0.715634546,0.558171134
,,,0.605452825
,,,0.594953519
56177,U1,0.722994965,0.703905582
,,,
56227,PWEU1,0.896822859,0.850698264
56232,1,0.766820604,0.778734807
,,,0.801479688
56237,CT01,0.663756677,0.674451804
56237,CT02,0.667312216,0.630967947
,,,0.636860547
,,,0.623353719
56239,GT-1,0.803915789,0.777180385
56239,GT-2,0.790782834,0.763550063
56253,MC-1,0.931001162,0.799731584
,,,0.860644266
56298,CT001,0.66253937,0.620384747
56298,CT002,0.662723259,0.625889764
,,,
56445,CT-01,0.681911981,0.66571983
56445,CT-02,0.689068366,0.662145033
56458,HOBB1,0.645060135,0.640135275
56458,HOBB2,0.644052361,0.637729938
,,,0.764356638
,,,0.763141787
,,,0.851521028
56472,CT1,0.736832579,0.754934641
56473,CT1,0.698012837,0.813024635
56474,CT1,0.730087626,0.838318945
56475,CT1,0.723948968,0.767330041
,,,0.749817533
,,,0.748701398
56482,1,0.798408142,0.778286955
56482,2,0.815640542,0.764376036
,,,0.692878349
,,,0.688973421
56569,1,0.732069971,0.666939559
56569,2,0.730559536,0.634089507
,,,
,,,0.466595862
,,,
,,,0.7487076
,,,0.701605552
,,,0.699426468
,,,0.713918547
,,,0.710921102
,,,0.719192567
,,,0.543414401
,,,0.523158515
,,,0.516690194
,,,0.524168545
,,,0.53482795
,,,0.547023941
,,,0.56574506
,,,0.564234396
,,,0.685223627
,,,0.677240082
,,,0.675421099
,,,0.670459889
,,,0.687796987
,,,0.680357143
,,,0.679303101
,,,0.698361034
,,,0.702759382
,,,0.675272206
,,,0.689427438
,,,0.681215042
,,,0.517453597
,,,0.53768043
,,,0.70737353
,,,0.695667015
,,,0.73237851
,,,0.73737165
,,,0.589863688
,,,0.554534314
,,,0.654367026
,,,0.644645669
,,,0.648962567
,,,0.649559789
,,,0.861348771
,,,
,,,
,,,
,,,0.685008052
,,,0.694318059
,,,0.70154121
,,,0.668631942
,,,
,,,0.588337594
,,,0.537550809
,,,0.586977037
,,,0.554468265
,,,0.509116333
,,,0.533604246
,,,0.518386141
,,,0.50831586
,,,0.502502055
,,,0.513749174
,,,0.512164377
,,,0.506567916
,,,0.657521715
,,,0.653510745
,,,0.635867273
,,,0.610779323
,,,0.602031716
,,,0.504152705
,,,0.497812952
,,,0.494848375
,,,0.732614943
,,,0.63503353
,,,0.64370816
,,,0.545600414
,,,0.765733288
,,,0.551765963
,,,0.645157135
,,,0.804160869
,,,0.719655709
,,,0.721476929
,,,0.651865972
,,,0.700929651
