ORISPL_CODE,UNITID,CO2I_06_08,CO2I_15_17
87,1,1.03707383649796,1.0734605013931158
113,1,1.1221256821690497,1.1408705729575614
113,2,1.1010156147006305,1.0899720869816423
113,3,1.1110085915717351,1.1186947796602171
113,4,1.0639447514976317,1.072063275572598
116,1,0.6594851692497242,0.6397084900323085
116,2,0.6672545015586716,0.6614330506330296
117,CC4,0.5462706932388909,0.4771485811196662
117,CC5A,0.6249384120237221,0.44547809441177466
117,CC5B,0.46738811873127606,0.4460287218033677
118,CT3,0.7981644017234628,0.8378058543791342
120,1,0.6401160730894735,0.637017486698074
120,CT5,0.7157055707763722,0.7157055707763722
120,CT6,0.705483239374311,0.7155800425940175
124,GT1,0.8391108238587794,0.8286828983377093
126,1,0.6618614409288663,0.6440964961777016
126,2,0.6383844772288676,0.6358904234420483
126,3,0.6398763855476405,0.6200838415722785
126,4,1.0138660647210673,0.8864557571730212
141,1,0.5814074685457401,0.581883549482702
141,2,0.5882056708618962,0.5884722215552021
141,3,0.582385097565154,0.5834034504271441
147,K-7,0.4299112867697889,0.4231858437786331
160,1,0.6623705839537287,0.662416629155676
160,2,1.0945599330738098,1.0623066975336732
160,3,1.0653305233544574,1.0392526395323765
160,4,0.669193921647467,0.6470831995781413
260,1A,0.4184324070465075,0.4298969548533947
260,2A,0.4197070554760913,0.637585197787537
260,3A,0.4200954172143819,0.4251976606149811
260,4A,0.4173926105060767,0.4207338200421074
271,5,0.6409032689391011,0.6771189970064373
271,6,0.6631009622366232,0.7150991958147642
271,7,0.6728795236856907,0.6465978216271223
302,1,0.7016130318769593,0.7016130318769593
302,2,0.6831736310856015,0.6927672800455501
302,3,0.6622855461173619,0.6950805661450038
302,4,0.6647592719130128,0.6634455850296753
302,5,0.6532306628907313,0.6559706090379747
315,1,0.8237075085081924,0.7685481245548776
315,2,0.7798785550043046,0.8418404132006966
315,3,0.6548677969079038,0.6824452000455634
315,4,0.6574489078559915,0.7183806131264465
315,5,0.6133636539559633,0.6276427187111598
315,6,0.6242980521250617,0.6207116347938485
330,4,0.6316536487017397,0.6406067425343972
331,3,0.6594107190048915,0.6993557432712144
331,4,0.7018890526958116,0.7407987338793331
335,1,0.6787515284998451,0.6612086469665981
335,2,0.7063651918283635,0.6590372741909876
341,1,0.9724545386688175,0.964805261186122
341,2,0.9730252242688163,0.988423613519938
341,3,1.0450524416236406,1.0525442653092847
341,4,1.0349814093194811,1.0547219409991193
345,1,0.5826666364705989,0.5930572251885122
345,2,0.5636833433205877,0.5759074141354182
350,1,0.6121924375188676,0.6315869989182205
350,2,0.5787650660842396,0.6189779679335822
356,5,1.1488136134764144,0.9279948715259252
356,6,1.1264497254131354,0.9867568730356933
356,7,0.6052928841290401,0.5971728819048476
356,8,0.6055197224548423,0.6055197224548423
377,4,1.1104916488135512,0.9921229530382504
377,5,1.0959636354262494,0.9853646631983771
377,9,0.6385688300689608,0.6107651027249891
389,4,0.6854431447427355,0.6935339301419309
399,**10A,0.6225450839334894,0.5238648040530678
399,**10B,5.40491417797718,0.6196783356021535
399,10,0.6556895092104663,0.6970174161480314
399,11,0.6304466256864615,0.6543920931786127
399,12,0.6246615646714594,0.647833940833784
399,13,0.6377067046284323,0.6442407086979397
399,14,0.620312651219723,0.620312651219723
400,1,0.6252485230477937,0.6292796930747766
400,10,0.4309942729564007,0.4077204293673303
400,2,0.5995951585898671,0.6175780714246988
400,9,0.40560570866882084,0.41032697791954026
404,1,0.7376083079328326,0.7593125121790015
404,2,0.7113916869776971,0.7680093771759903
404,3,0.5841180683489005,0.6318289762051778
408,5,0.596580596056136,0.6142812981253063
408,6,0.412879258726034,0.4135160852919925
408,7,0.41296363758965793,0.41441449607620195
420,B3,0.70729299706312,0.6826556948813994
422,GT3,0.6675211990419387,0.7207739970444951
422,GT4,0.6666809416334152,0.7148768826667978
469,3,1.0935029356198966,1.0809475570338685
469,4,1.00028088808649,1.0075208675684655
470,1,0.9838492919100581,0.9811041844684281
470,2,1.0714443510098057,1.0568963801704603
477,5,1.069045470011555,1.0783357225053698
492,5,1.1526622777687276,1.1587684466749466
492,6,1.2090033544660603,1.2046495958444525
492,7,1.08667586261549,1.078717398418631
525,H1,1.1585167561137042,1.1581238832755432
525,H2,1.0210159170601265,1.0216636176202387
527,1,1.1619632991873499,1.2116847837541005
607,CT3,0.6136202936778931,0.608441309623427
607,CT4,0.625010435974536,0.6255302165799426
2176,GT-2,3.619167050266728,2.8496122971149247
2187,2,1.1531714309556362,1.1202765808406374
2322,11A,,
2322,11B,1.2851291550913488,1.2851291550913488
2322,12A,1.4138239636398098,0.667305623171785
2322,12B,1.3544051912088166,0.6642680125266954
2322,13A,0.7090526957068467,0.6729203612815067
2322,13B,1.3664447524853363,1.292360945640323
2322,14A,0.6050406120087238,0.6786821853244225
2322,14B,0.6078653019169259,1.323311295199232
2322,15A,1.3830008432120424,0.6565116322979256
2322,15B,0.6557028529679272,0.6511947815860069
2322,16A,0.7145200883922711,0.6563721313731612
2322,16B,1.400706520581192,1.2613063122327948
2322,17A,0.6425769514001634,0.6591249701307537
2322,17B,1.2631006954956094,0.6642104821226338
2322,18A,1.343756135632097,1.343756135632097
2322,18B,1.3190246269090926,1.35945502536066
2322,19A,0.6802531058740339,1.330417147914829
2322,19B,0.6861435396537635,0.6736316818586885
2322,20A,0.6735652763765958,0.6646635716619796
2322,20B,0.6722250092136014,0.6722250092136014
2322,21A,0.6693865781522734,0.6693865781522734
2322,21B,1.3432333262587448,1.3432333262587448
2322,22A,0.6487750348755825,1.326813971183672
2322,22B,0.6476649859995152,0.6603637593663815
2324,4,1.0824783781261758,1.1007362789530828
2330,1,0.5878542184281946,0.6012449903581768
2330,2,0.5951025606699665,0.6081297151694233
2336,3,0.6223876707714519,0.6283253025955374
2336,4,0.8095136399007796,0.8026667395722196
2336,5,0.8070977215082838,0.8359202829633547
2336,6,0.4903596538065897,0.5023484787104335
2336,8,0.43429140059410554,0.42807447509917346
2336,9,0.4342917712750815,0.4306444418246873
2442,4,0.9454129725599458,0.9623930783153114
2442,5,0.9770255854946762,1.015162330065383
2444,6,0.6917127068967533,0.6940837027429304
2444,7,0.6371858904199569,0.6445659250262272
2444,8,0.6228012098059946,0.6220543946255174
2446,051B,0.5969234378079824,0.6081004392696808
2450,1,0.7002572994912999,0.7002572994912999
2450,2,0.7016989044103701,0.7016989044103701
2450,3,0.670770695703817,0.670770695703817
2451,1,1.0330777933970063,1.044619354782079
2451,2,0.9877453135819902,1.0081680058520075
2451,3,1.0424443862333868,1.0556462833958944
2451,4,1.057164111078525,1.0695652475570039
2454,121B,0.7001608789804066,0.6416005055672738
2454,122B,0.5786921072470603,0.5920699591854485
2454,123T,0.694806868992295,0.6992023543747966
2454,124T,0.7383958007043918,0.7136587079177937
3456,**4,0.7089280018980328,0.8062550661708628
