ORISPL_CODE,UNITID,gen_06_08,gen_15_17
3648,2,217176.71,63618.64
3648,3,435939.37,114381.09
3648,4,286876.36,59302.47
,,,
3648,5,277828.86,57160.4
,,,
3648,6,278548.79,43348.95
,,,
,,,
,,,
3845,30,267778.03,
3845,40,232317.82,
3845,50,238612.8,
3845,60,242776.68,
3845,BW21,13128755.38,6418595.95
3845,BW22,11869258.21,7253412.95
4158,BW41,2565841.07,2100290.61
4158,BW42,2506198.11,2244306.36
4158,BW43,5761814.23,4058922.18
4158,BW44,7793488.24,6496543.43
4162,1,3739627.43,3620033.47
4162,2,4919509.47,4551279.56
4162,3,7731620.28,6175282.57
4941,1,19283230.67,13513225.82
4941,2,18827122.3,13242320.11
4941,3,19114840.64,12519892.61
,,,
,,,
6021,C1,10736879.12,8120968.68
6021,C2,11045747.32,7746135.71
6021,C3,10725774.57,8168179.68
6076,1,7241932.92,5276940.17
6076,2,7128149.32,5552769
6076,3,18021830.71,15169241.87
6076,4,18438546.97,15346413.32
6089,B1,1069128.85,734293.48
6101,BW91,8926471.52,7332752.28
6106,1SG,11465379.51,5754750.46
6112,2,4376145.15,2855418.11
6112,3,4238814.59,2570316.61
6112,4,4456803.18,2734362.24
,,,149363.29
,,,161778.16
6165,1,10763329.27,8423576.6
6165,2,10602669.02,8646646.32
6165,3,10581769.35,8819714.21
6177,U1B,10460034.98,7031493.89
6177,U2B,9638093.66,7322816.99
6204,1,12932170.12,8541463.77
6204,2,13879930.45,10927839.04
6204,3,13380938.65,11166162.29
6248,1,11827409.63,9449427.3
6481,1SGA,23303402.75,14220540
6481,2SGA,22880836.5,13817671
6761,101,7002517.53,6317392.72
6761,A,40397.2,9486.76
6761,B,69065.16,9584.82
6761,C,41162.02,6928.5
6761,D,45111.52,10692.66
6761,F,109018.11,84480.65
7082,**3,65091.11,65087.93
7082,**4,78483.51,75281.06
,,,4922441.9
,,,4978831.78
7266,1,198697.82,321904.42
7266,2,1029225.58,822294.84
7307,5,408630.5,233079.17
,,,478201.01
7315,1,293330.45,170194.15
,,,109446.76
,,,140518.74
,,,43047.88
7350,CTG1,2862926.09,3937433.25
7350,CTG2,4851073.49,4798045.59
7449,NA1,210899.17,15299.54
7456,1,30782.01,58422.46
7456,2,25430.09,78651.93
,,,
7504,CT1,118866.35,24840.78
7527,1,1069017.99,980549.61
7527,2,59691.02,64371.06
7551,1A,986752.99,843836.47
7551,1B,1006609.08,975229.03
7551,1C,98787.61,104303.17
7552,1,3642737.75,2526943.6
7605,1,4533333.94,4071692.31
7693,1,163405.17,153398.2
7870,CT1,130201.22,134136.99
7870,CT2,127354.21,148482.22
7870,CT3,134646.7,157254.39
7945,1,6102.15,
7953,CT1,158770.92,472253.41
7953,CT2,38020.86,16224.55
7953,CT3,34526.39,16512.3
7967,1,110429.75,18956.28
7967,2,108800.75,23408.3
7975,1,51247.84,27378.88
7975,2,27428.23,33375.77
7975,3,15182.08,22718.22
7975,4,65593.73,18863.81
,,,
7999,1,266524.55,3901385.43
7999,2,268430.85,3897177.42
8066,BW71,12048119.43,9350049.72
8066,BW72,12603581.07,9499892.36
8066,BW73,12084111.31,8008741.3
8066,BW74,11672133.4,9029670.12
8068,5A,3927458.24,2595524.14
8068,5B,3717077.72,2721015.91
8068,6A,3873186.83,2821515.65
8069,1,10960048.27,8594380.59
8069,2,10700608.28,8066181.53
8219,1,5240496.47,4051002.56
8219,2,9314.04,2131.81
8219,3,11245.69,1844.64
8223,1,9748800.86,5584507.48
8223,2,9853401.39,8313595.6
,,,7105380.68
8223,TS3,7675793.99,7286754.33
8224,1,5208325.31,2004822.72
8224,2,5967337.63,1114456.08
10034,S-100,1179050.58,360255.92
10156,GEN1,181525.31,27878.54
10169,D1,1174606,89505.94
10294,2,61802.61,17282.15
10349,2,86853.41,87920.7
,,,104240.77
,,,67617.44
,,,
,,,
10682,GT2,15652.51,4193.41
10682,GT4,10030.04,20927.54
10682,GT5,10542.73,20038.12
10761,1,81053.58,97845.35
10761,2,415400.37,187455.26
10761,3,411896.72,193840.13
10761,4,362029.28,198509.77
10761,5,351070.15,196806.69
,,,
,,,
50131,1,516883.08,675909.94
,,,323663.24
,,,229612.57
,,,293116.22
,,,270112.73
,,,265494.73
50864,1,485342.64,581577.63
50865,1,491636.02,625770.13
,,,
,,,
,,,963505.21
,,,934341.42
,,,815181.29
,,,745538.72
,,,713189.31
,,,15621.39
,,,31630.58
54761,1,3463767.12,2567946.64
54761,2,3332297.59,2774452.33
,,,
54814,1,1393698.75,296190.56
54814,2,1349864.25,352279.18
,,,21025.2
,,,16149.59
,,,12215.77
55039,GT-1,53857.18,254520.99
55077,EDE1,4053782.32,2028633.65
55077,EDE2,4041121.34,2122505.78
55103,CT1,3498448.26,3436650.76
55103,CT2,3644859.01,3253441.81
55112,CT01,4390299.22,609012.29
55112,CT02,4133430.83,703698.4
55124,P1,2668788.55,2466108.05
55124,P2,2493926.62,3058085.23
55127,CT1,325844.07,168520.23
55127,CT2,357181.62,173953.37
55129,DBG1,2561800.21,2158100.33
55129,DBG2,2116969.76,1710258.08
55151,CTG-1,4587089.81,3119709.14
55151,CTG-2,4691894.1,3221373.37
55151,CTG-3,4766427.21,3247158.43
55151,CTG-4,4507101.92,2233680.5
55177,A,3999627.76,1337972.36
55177,B,3567096.94,708805.27
55179,CTGEN1,3736865.04,3737200.06
55182,CTG1,5675813.67,4284287.93
55182,CTG2,5553864.78,4097676.07
55200,CT5,375512.41,168343.53
55200,CT6,391972.38,168638.79
55207,CT7,16135.69,
55207,CT8,16017.61,
,,,
55217,X724,5037626.59,4608616.41
55217,X725,5652424.17,4119126.98
55282,CTG1,2161989.44,2603506.54
55282,CTG2,2210109.18,2628853.83
55283,1,3694629.64,2532845.09
55283,2,3713693.01,2990781.38
55295,1,1321866.72,1083952.47
55295,2,1311337.6,1138905.38
55306,1CTGA,2924612.97,1161200.22
55306,1CTGB,2887895.88,801761.45
55306,2CTGA,2522302.25,1240432.37
55306,2CTGB,2353660.15,1144862.36
55306,3CTGA,2390332.73,3392777.54
55306,3CTGB,2387366.97,3263705.66
55306,4CTGA,3304930.84,3455667.87
55306,4CTGB,3317363.82,3024418.9
55322,CTG-1,4423153.72,4828646.72
55322,CTG-2,4456372.81,4714697.02
55322,CTG-3,4777186.55,4546673.48
55322,CTG-4,4687235.86,4620278.83
55328,CTG-1,5001192.14,4680725.01
55328,CTG-2,4939039.3,4694124.42
55333,1,5486518.16,3172790.19
55333,2,4966587.72,2952046.61
55333,3,4907756.1,2599131.89
55343,CTG1,3710391.69,3022153.98
55343,CTG2,3197003.13,3003104.77
,,,3944051.86
,,,4073612.97
55372,CTG1,1736768.24,1468585.13
55372,CTG2,1741209.06,1200575.07
55372,CTG3,1255619.49,1283144.26
55393,1,4016352.16,4063013.65
55393,2,3947358.84,3563310.43
55400,CTG-1,5235086.25,5254652.57
55400,CTG-2,4889115.45,5248026.63
55453,1,226551.73,101001.31
55453,2,189110.81,84016.39
55453,3,238467.06,104270.38
55453,4,169377.61,83771.88
55453,5,207583.51,93824.16
55453,6,163628.89,85504.84
55455,CC1A,2629861.15,3413539.25
55455,CC1B,2582714.46,3307784.53
55455,CC2A,2499246.93,3246518.57
55455,CC2B,2500901.45,3200692.23
55477,CT2,56619.83,16760.13
,,,
55481,1,5761005.15,3087070.21
55481,2,5933872.86,3062107.36
55481,5,5581022.62,3947266.23
55481,6,5638530.98,4031630.8
55482,CT-1,2566433.36,3236845.47
55494,CT1,12751.75,
55494,CT2,16186.25,
55494,CT3,16462,
55494,CT4,12458,
55494,CT5,13530,
55494,CT6,12104.75,
55499,GT-1,31119.31,39570.8
,,,
55504,L1,71939.43,48045.95
55504,L2,124108.02,56164.74
55505,BR1,153095.29,17653.85
55505,BR2,154713.64,13418.6
55508,GT-1,29220.46,68219.77
,,,
55510,GT-1,58630.29,34209.94
,,,
55512,GT-1,51763.15,25703.69
,,,
55513,GT-1,44437.69,38124.97
,,,
55514,CTG01,2540237.27,4145833.91
55514,CTG02,2410527.44,4224426.32
55518,CTG1,2823062.64,1791385.39
55518,CTG2,2821369.56,1729554.87
55518,CTG3,2819203.64,1788305.9
55522,CT01,44288.94,52609.06
55522,CT02,39502.57,48351.77
55522,CT03,52637.44,56450.91
55522,CT04,43569.84,52423.86
55522,CT05,45010.36,59371.7
55522,CT06,44451.11,49339.95
55522,CT07,47044.06,60808.38
55522,CT08,42659.5,70492.59
55522,CT09,40394.13,73159.97
55522,CT10,41582.06,55688.71
55538,CT1A,3072.25,
55538,CT1B,3072.25,
,,,113949.58
55540,1A,3386.98,3087.91
55540,1B,3318.61,3110.16
55541,1,86076.41,43115.44
55541,2,85385.05,53083.79
55541,3,85497.1,54975.48
55542,1,70350.25,66692.39
55542,2,67563.18,83670.09
55544,GT1,23213.72,35614.2
55544,GT2,23170.88,27877.02
55544,GT3,22966.88,35977.03
55544,GT4,23446.48,30395.16
55622,U1,321217.98,59099.43
55622,U2,323741.47,55000.46
55622,U3,289097.92,71692.91
55622,U4,325818.64,61435.44
55622,U5,330980.67,58167.05
55625,UNIT1,42324.49,31160.44
55626,UNIT1,45805.53,31198.71
55627,UNIT1,43987.73,31032.37
55645,CT-01,604845.8,431621.8
55645,CT-02,517788.72,419794.69
55656,CT001,5078882.84,4413496.51
55656,CT002,5088208.46,3974834.24
55656,CT004,4677490.36,3638939.08
55662,CT1,1992770.11,2049140.93
55662,CT2,1702561.58,1823889.6
55683,1,,
55687,BHG1,2129745.15,3982504.73
55687,BHG2,2106109.24,4150284.41
55698,HEP1,52782.75,64636.66
55698,HEP2,53078,76534.29
55700,CTG1,522676.25,3359986.62
,,,
,,,
,,,
,,,
,,,
,,,
,,,
55733,CT01,288820.49,318018.27
55748,CTG1,60537.76,170512.67
55748,CTG2,65550.79,146236.62
55748,CTG3,57405.85,195584.62
55748,CTG4,51750.88,170397.13
55749,U1,1978720.87,1025682.52
55802,CTG1,8818.33,224133.8
55807,HPP1,45919,78371.94
55807,HPP2,45510.5,81595.63
55810,S-3,86337.83,27054.9
55810,S-4,86467.14,29085.43
55810,S-5,77227.01,22303.32
