ORISPL_CODE,UNITID,NAME,FUEL,GAS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
87,1,Escalante ,coal,CO2,1.140422946911866,0.9953132426134564,0.9179676945196347,0.9891629194381393,1.0093912256593338,0.9713344157361263,1.0039681115628434,1.0503559885249951,1.1055783050490746,1.1398426316578743,1.17771621498763,1.1445326142987757,1.1059523201414632,1.050197766603426,0.9964917508359947,1.036715722698172,1.0567002584533958,1.0626718433860118
87,1,Escalante ,coal,SO2,1.5545198739686399,1.3482139886204243,1.1884316540695106,1.276701353182224,1.2689115864293259,1.2081004684527976,1.1469759631280538,1.3103794800040787,1.3366214660001452,1.3560520968792458,1.428336060226902,1.3058972260490749,1.1692385124238287,0.9804572688222181,1.1582560913063398,1.2814709963760624,1.2743911875851464,1.1955148466123475
87,1,Escalante ,coal,NOX,4.300776830052415,3.925007600900412,3.5596080826954433,3.8843819069325893,3.725776216242205,3.570356295765109,3.454154086712139,3.5210809766513855,3.685115116472707,3.4819868700241505,3.846904689415971,3.747445443976948,3.7331485479556155,3.4551406762492767,3.351200172327723,3.475148426703329,3.6082936040675793,3.7412188658609935
113,1,Cholla,coal,CO2,1.1675876588767584,1.1707534755822115,1.1067346187833473,1.0603013359360145,1.047829121936136,1.0481027409248078,1.0696076518986282,1.140597203335119,1.1786337275543777,1.1543944204510317,1.134914823417002,1.127551296269473,1.1471782677627258,1.152896268601069,1.1703517834118677,1.3139855428202942,1.2878088076208416,1.3020867035648915
113,1,Cholla,coal,SO2,2.0475693376302626,2.166202582424329,1.7068054119125675,1.6324992038453694,1.6142109710770816,1.7328987945873453,1.8917282884968067,1.111525522155761,1.2168157791771559,1.6585199233983978,2.233263199203196,1.5212145227293585,1.4859041311093655,1.4070998457387065,1.3334965356821094,1.2563064436724705,1.1416908678443252,1.0268943824631744
113,1,Cholla,coal,NOX,4.260807290438505,4.184784825384452,3.8119048231956416,3.6572689398886076,3.4860029603604317,3.760997599553898,3.905392917175765,1.838284162411125,2.1981838000251,2.21359432769128,2.420990397186445,2.3609718565727893,2.3995875712303336,2.2836768307460003,2.356192364920806,2.3024692377564677,2.022445264973146,2.2424107469711494
113,2,Cholla,coal,CO2,1.241936941352848,1.2455912345668405,1.1852892469945266,1.1237430113229336,1.0453840765162128,1.0086104812490777,1.0146906369415551,1.0298486492610588,1.0284837995761187,1.001562636089054,1.0310116143757624,1.0650031319267992,1.0383385519930022,1.0508095225127583,1.0667012115811667,,,
113,2,Cholla,coal,SO2,1.260827396789751,1.6271696093846213,1.411097317610012,0.9616484208206081,1.108240423011288,1.2371650032717743,1.338931026541395,1.4887008474920937,1.3807336955466882,1.887438166268591,1.8670794530589547,1.8285418907420592,1.2666219902980116,1.2378259990087523,1.8678834153524206,,,
113,2,Cholla,coal,NOX,4.121924337453548,3.8662776974914586,3.7311259327679465,3.3244016913875036,3.4697872698887107,3.3022773899537916,3.5094832048820153,3.179560325227028,3.1269195188561922,3.051405145471052,2.919436532388904,2.914089174923876,2.9967543640884107,3.0316650743163387,3.069974997873477,,,
113,3,Cholla,coal,CO2,1.109357597821643,1.1174426354575853,1.1024876718845964,1.0837388473367235,1.0816589250483395,1.0361381984781275,1.026099618252076,1.0385266199469085,1.1056593762050295,1.146719128370624,1.1494302310858986,1.1465093547236282,1.155412296702799,1.1326696616418386,1.161170604892575,1.1519331897727478,1.1851127080484039,1.1339336792632235
113,3,Cholla,coal,SO2,8.838494692234308,8.95905839072087,8.680652113061639,8.752540042529287,8.576664449430927,8.494682336094975,8.587354669418524,8.689154164254543,3.784363134675424,1.714975832253922,1.6276339580402366,1.5769694452496155,1.4678258526959513,0.7576699898872715,0.9240342257597685,1.035260554885404,0.9225629303932625,0.8053925507348747
113,3,Cholla,coal,NOX,3.1125876126657066,3.4426342244464827,3.3923352660898134,3.2540756875224877,3.3555846320745095,3.4788757469918337,3.3887680808135685,3.37125186693079,2.3411561946615933,2.1885608146881146,2.8582639840235915,2.288229507346875,2.348634029543939,2.415804257268271,2.3337950802905487,2.0422487664498608,2.1204579954171363,2.0851698388980955
113,4,Cholla,coal,CO2,1.0752438922129595,1.05592204422204,1.0912367574638473,1.0637151867928334,1.048043304075486,1.0306860307437264,1.045970148847631,1.0290470318579468,1.0267089878923539,0.981846856945972,1.039733429332634,1.085978113335653,1.1679070506745106,1.1498293151397738,1.1229260960997463,1.0736324031167512,1.149717540687653,1.1372399287169694
113,4,Cholla,coal,SO2,6.272905562869832,6.879467855955177,6.846155172089239,5.990841567646201,6.531202611978181,6.735373263514208,6.971535827742095,2.935317698681585,1.552025262311136,1.4834980569515404,1.4158556266111963,1.487661209962728,1.3801171736249247,0.9740216459684522,0.9743391191076264,0.9387834376275054,0.8090090605957954,0.7781848376650337
113,4,Cholla,coal,NOX,2.9164030198568285,3.063039698055514,3.461814056520248,3.4118879497526198,3.7518180998704778,3.7222501712813756,3.4107039885166466,2.183445030180677,1.787852944243781,1.7760468764356214,2.6562413263397455,2.16160031959825,1.9402744536277263,2.1347153227598126,2.132811320298805,1.9734412798830905,1.9218559848228216,1.9332510235757765
126,4,Irvington Generating Station,coal,CO2,1.0223683246702109,1.059275743825939,0.9841995564030168,1.0274009189086541,1.0278306753477866,1.0064662742309896,1.0446460138059688,1.0476286041975955,0.857194734292621,0.9772529446839597,1.1163403536997745,0.7875678912109517,1.06140336756999,0.8718560226137823,0.8568226843167844,0.6595604105508391,0.6568911782009599,0.6666424622636605
